2017-12-05T11:17:15.463+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.463+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.463+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.463+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.464+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.464+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.464+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.464+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.465+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.465+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
2017-12-05T11:17:15.465+0000 I REPL     [ReplicationExecutor] Error in heartbeat request to c526be9fe055:27018; HostUnreachable: Connection refused
2017-12-05T11:17:15.465+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to c526be9fe055:27018
2017-12-05T11:17:15.465+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to c526be9fe055:27018 - HostUnreachable: Connection refused
2017-12-05T11:17:15.466+0000 I ASIO     [NetworkInterfaceASIO-Replication-0] Dropping all pooled connections to c526be9fe055:27018 due to failed operation on a connection
